TrueDistance,PredictedDistance,RSSI
1.20,1.5834,-50.14
1.20,1.5776,-50.09
1.20,1.5822,-50.13
1.20,1.5718,-50.04
1.20,1.5672,-50.00
1.20,1.5718,-50.04
1.20,1.5764,-50.08
1.20,1.5718,-50.04
1.20,1.5707,-50.03
1.20,1.5707,-50.03
1.20,1.5753,-50.07
1.20,1.5707,-50.03
1.20,1.5707,-50.03
1.20,1.5753,-50.07
1.20,1.5787,-50.10
1.20,1.5695,-50.02
1.20,1.5695,-50.02
1.20,1.5787,-50.10
1.20,1.5638,-49.97
1.20,1.5649,-49.98
1.20,1.5741,-50.06
1.20,1.5730,-50.05
1.20,1.5730,-50.05
1.20,1.5822,-50.13
1.20,1.5811,-50.12
1.20,1.5811,-50.12
1.20,1.5845,-50.15
1.20,1.5799,-50.11
1.20,1.5787,-50.10
1.20,1.5926,-50.22
1.20,1.5961,-50.25
1.20,1.5949,-50.24
1.20,1.6030,-50.31
1.20,1.5972,-50.26
1.20,1.5915,-50.21
1.20,1.5903,-50.20
1.20,1.5938,-50.23
1.20,1.5880,-50.18
1.20,1.5880,-50.18
1.20,1.5915,-50.21
1.20,1.5857,-50.16
1.20,1.5845,-50.15
1.20,1.5891,-50.19
1.20,1.5926,-50.22
1.20,1.5868,-50.17
1.20,1.5857,-50.16
1.20,1.5903,-50.20
1.20,1.5799,-50.11
1.20,1.5753,-50.07
1.20,1.5741,-50.06
1.20,1.5787,-50.10
1.20,1.5649,-49.98
1.20,1.5649,-49.98
1.20,1.5787,-50.10
1.20,1.5684,-50.01
1.20,1.5684,-50.01
1.20,1.5730,-50.05
1.20,1.5776,-50.09
1.20,1.5730,-50.05
1.20,1.5730,-50.05
1.20,1.5764,-50.08
1.20,1.5718,-50.04
1.20,1.5672,-50.00
1.20,1.5764,-50.08
1.20,1.5811,-50.12
1.20,1.5707,-50.03
1.20,1.5707,-50.03
1.20,1.5707,-50.03
1.20,1.5753,-50.07
1.20,1.5695,-50.02
1.20,1.5741,-50.06
1.20,1.5787,-50.10
1.20,1.5741,-50.06
1.20,1.5730,-50.05
1.20,1.5776,-50.09
1.20,1.5684,-50.01
1.20,1.5730,-50.05
1.20,1.5730,-50.05
1.20,1.5764,-50.08
1.20,1.5672,-50.00
1.20,1.5672,-50.00
1.30,1.5145,-49.54
1.30,1.5168,-49.56
1.30,1.5191,-49.58
1.30,1.5202,-49.59
1.30,1.5180,-49.57
1.30,1.5111,-49.51
1.30,1.5088,-49.49
1.30,1.5157,-49.55
1.30,1.5225,-49.61
1.30,1.5191,-49.58
1.30,1.5259,-49.64
1.30,1.5317,-49.69
1.30,1.5294,-49.67
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5465,-49.82
1.30,1.5431,-49.79
1.30,1.5431,-49.79
1.30,1.5397,-49.76
1.30,1.5317,-49.69
1.30,1.5328,-49.70
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5420,-49.78
1.30,1.5477,-49.83
1.30,1.5431,-49.79
1.30,1.5442,-49.80
1.30,1.5500,-49.85
1.30,1.5500,-49.85
1.30,1.5420,-49.78
1.30,1.5431,-49.79
1.30,1.5488,-49.84
1.30,1.5397,-49.76
1.30,1.5317,-49.69
1.30,1.5339,-49.71
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5420,-49.78
1.30,1.5431,-49.79
1.30,1.5339,-49.71
1.30,1.5362,-49.73
1.30,1.5420,-49.78
1.30,1.5431,-49.79
1.30,1.5431,-49.79
1.30,1.5488,-49.84
1.30,1.5546,-49.89
1.30,1.5454,-49.81
1.30,1.5465,-49.82
1.30,1.5523,-49.87
1.30,1.5431,-49.79
1.30,1.5488,-49.84
1.30,1.5500,-49.85
1.30,1.5546,-49.89
1.30,1.5511,-49.86
1.30,1.5511,-49.86
1.30,1.5523,-49.87
1.30,1.5523,-49.87
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5465,-49.82
1.30,1.5385,-49.75
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5328,-49.70
1.30,1.5214,-49.60
1.30,1.5225,-49.61
1.30,1.5248,-49.63
1.30,1.5259,-49.64
1.30,1.5237,-49.62
1.30,1.5248,-49.63
1.30,1.5317,-49.69
1.30,1.5328,-49.70
1.30,1.5202,-49.59
1.30,1.5271,-49.65
1.30,1.5282,-49.66
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5328,-49.70
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5282,-49.66
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5294,-49.67
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5339,-49.71
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5420,-49.78
1.30,1.5385,-49.75
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5420,-49.78
1.30,1.5339,-49.71
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5294,-49.67
1.30,1.5317,-49.69
1.30,1.5374,-49.74
1.30,1.5339,-49.71
1.30,1.5305,-49.68
1.30,1.5362,-49.73
1.30,1.5282,-49.66
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5339,-49.71
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5328,-49.70
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5328,-49.70
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5431,-49.79
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5431,-49.79
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5408,-49.77
1.30,1.5328,-49.70
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5294,-49.67
1.30,1.5305,-49.68
1.30,1.5362,-49.73
1.30,1.5328,-49.70
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5420,-49.78
1.30,1.5385,-49.75
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5465,-49.82
1.30,1.5339,-49.71
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5339,-49.71
1.30,1.5397,-49.76
1.30,1.5454,-49.81
1.30,1.5328,-49.70
1.30,1.5294,-49.67
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5237,-49.62
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5339,-49.71
1.30,1.5214,-49.60
1.30,1.5237,-49.62
1.30,1.5248,-49.63
1.30,1.5180,-49.57
1.30,1.5191,-49.58
1.30,1.5259,-49.64
1.30,1.5317,-49.69
1.30,1.5339,-49.71
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5294,-49.67
1.30,1.5305,-49.68
1.30,1.5362,-49.73
1.30,1.5339,-49.71
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5442,-49.80
1.30,1.5408,-49.77
1.30,1.5465,-49.82
1.30,1.5511,-49.86
1.30,1.5431,-49.79
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5282,-49.66
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5420,-49.78
1.30,1.5339,-49.71
1.30,1.5351,-49.72
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5397,-49.76
1.30,1.5454,-49.81
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5442,-49.80
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5339,-49.71
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5282,-49.66
1.30,1.5259,-49.64
1.30,1.5271,-49.65
1.30,1.5328,-49.70
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5328,-49.70
1.30,1.5339,-49.71
1.30,1.5225,-49.61
1.30,1.5237,-49.62
1.30,1.5305,-49.68
1.30,1.5362,-49.73
1.30,1.5328,-49.70
1.30,1.5339,-49.71
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5339,-49.71
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5328,-49.70
1.30,1.5339,-49.71
1.30,1.5259,-49.64
1.30,1.5282,-49.66
1.30,1.5339,-49.71
1.30,1.5305,-49.68
1.30,1.5328,-49.70
1.30,1.5385,-49.75
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5431,-49.79
1.30,1.5442,-49.80
1.30,1.5500,-49.85
1.30,1.5408,-49.77
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5442,-49.80
1.30,1.5408,-49.77
1.30,1.5420,-49.78
1.30,1.5431,-49.79
1.30,1.5442,-49.80
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5385,-49.75
1.30,1.5351,-49.72
1.30,1.5271,-49.65
1.30,1.5282,-49.66
1.30,1.5294,-49.67
1.30,1.5271,-49.65
1.30,1.5328,-49.70
1.30,1.5339,-49.71
1.30,1.5408,-49.77
1.30,1.5317,-49.69
1.30,1.5339,-49.71
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5328,-49.70
1.30,1.5397,-49.76
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5339,-49.71
1.30,1.5305,-49.68
1.30,1.5317,-49.69
1.30,1.5328,-49.70
1.30,1.5305,-49.68
1.30,1.5362,-49.73
1.30,1.5374,-49.74
1.30,1.5385,-49.75
1.30,1.5351,-49.72
1.30,1.5362,-49.73
1.30,1.5420,-49.78
1.30,1.5431,-49.79
1.30,1.5305,-49.68
1.30,1.5362,-49.73
1.30,1.5420,-49.78
1.30,1.5431,-49.79
1.30,1.5397,-49.76
1.30,1.5408,-49.77
1.30,1.5465,-49.82
1.30,1.5431,-49.79
1.30,1.5431,-49.79
1.30,1.5442,-49.80
1.30,1.5500,-49.85
1.30,1.5420,-49.78
1.40,1.6884,-51.04
1.40,1.6790,-50.96
1.40,1.6931,-51.08
1.40,1.6919,-51.07
1.40,1.6825,-50.99
1.40,1.6731,-50.91
1.40,1.6825,-50.99
1.40,1.6837,-51.00
1.40,1.6743,-50.92
1.40,1.6790,-50.96
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.40,1.6825,-50.99
1.40,1.6967,-51.11
1.40,1.6967,-51.11
1.40,1.6872,-51.03
1.40,1.7002,-51.14
1.40,1.7002,-51.14
1.40,1.6943,-51.09
1.40,1.6849,-51.01
1.40,1.6754,-50.93
1.40,1.6896,-51.05
1.40,1.6990,-51.13
1.40,1.6978,-51.12
1.40,1.6884,-51.04
1.40,1.7026,-51.16
1.40,1.7061,-51.19
1.40,1.7049,-51.18
1.40,1.6955,-51.10
1.40,1.7085,-51.21
1.40,1.7073,-51.20
1.40,1.7026,-51.16
1.40,1.6919,-51.07
1.40,1.6967,-51.11
1.40,1.6955,-51.10
1.40,1.6908,-51.06
1.40,1.6813,-50.98
1.40,1.6860,-51.02
1.40,1.6860,-51.02
1.40,1.6766,-50.94
1.40,1.6672,-50.86
1.40,1.6719,-50.90
1.40,1.6731,-50.91
1.40,1.6778,-50.95
1.40,1.6919,-51.07
1.40,1.6919,-51.07
1.40,1.6872,-51.03
1.40,1.7014,-51.15
1.40,1.7002,-51.14
1.40,1.7002,-51.14
1.40,1.6849,-51.01
1.40,1.6990,-51.13
1.40,1.6884,-51.04
1.40,1.6790,-50.96
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.40,1.6884,-51.04
1.40,1.6931,-51.08
1.40,1.7061,-51.19
1.40,1.7014,-51.15
1.40,1.6908,-51.06
1.40,1.7049,-51.18
1.40,1.7038,-51.17
1.40,1.7026,-51.16
1.40,1.6931,-51.08
1.40,1.6919,-51.07
1.40,1.6825,-50.99
1.40,1.6731,-50.91
1.40,1.6778,-50.95
1.40,1.6790,-50.96
1.40,1.6696,-50.88
1.40,1.6743,-50.92
1.40,1.6802,-50.97
1.40,1.6707,-50.89
1.40,1.6849,-51.01
1.40,1.6849,-51.01
1.40,1.6849,-51.01
1.40,1.6754,-50.93
1.40,1.6896,-51.05
1.40,1.6802,-50.97
1.40,1.6707,-50.89
1.40,1.6766,-50.94
1.40,1.6766,-50.94
1.40,1.6672,-50.86
1.40,1.6778,-50.95
1.40,1.6919,-51.07
1.40,1.6872,-51.03
1.40,1.6825,-50.99
1.40,1.6919,-51.07
1.40,1.7002,-51.14
1.40,1.7002,-51.14
1.40,1.6896,-51.05
1.40,1.6990,-51.13
1.40,1.6978,-51.12
1.40,1.6884,-51.04
1.40,1.6790,-50.96
1.40,1.6931,-51.08
1.40,1.6837,-51.00
1.40,1.6743,-50.92
1.40,1.6790,-50.96
1.40,1.6790,-50.96
1.40,1.6696,-50.88
1.40,1.6802,-50.97
1.40,1.6754,-50.93
1.40,1.6707,-50.89
1.40,1.6625,-50.82
1.40,1.6672,-50.86
1.40,1.6637,-50.83
1.40,1.6649,-50.84
1.40,1.6555,-50.76
1.40,1.6660,-50.85
1.40,1.6672,-50.86
1.40,1.6672,-50.86
1.40,1.6590,-50.79
1.40,1.6649,-50.84
1.40,1.6649,-50.84
1.40,1.6614,-50.81
1.40,1.6532,-50.74
1.40,1.6590,-50.79
1.40,1.6602,-50.80
1.40,1.6567,-50.77
1.40,1.6614,-50.81
1.40,1.6766,-50.94
1.40,1.6766,-50.94
1.40,1.6684,-50.87
1.40,1.6731,-50.91
1.40,1.6743,-50.92
1.40,1.6743,-50.92
1.40,1.6649,-50.84
1.40,1.6754,-50.93
1.40,1.6754,-50.93
1.40,1.6660,-50.85
1.40,1.6578,-50.78
1.40,1.6590,-50.79
1.40,1.6508,-50.72
1.40,1.6567,-50.77
1.40,1.6719,-50.90
1.40,1.6719,-50.90
1.40,1.6637,-50.83
1.40,1.6778,-50.95
1.40,1.6731,-50.91
1.40,1.6696,-50.88
1.40,1.6602,-50.80
1.40,1.6660,-50.85
1.40,1.6672,-50.86
1.40,1.6578,-50.78
1.40,1.6496,-50.71
1.40,1.6602,-50.80
1.40,1.6614,-50.81
1.40,1.6532,-50.74
1.40,1.6637,-50.83
1.40,1.6696,-50.88
1.40,1.6696,-50.88
1.40,1.6614,-50.81
1.40,1.6707,-50.89
1.40,1.6719,-50.90
1.40,1.6625,-50.82
1.40,1.6778,-50.95
1.40,1.6778,-50.95
1.40,1.6778,-50.95
1.40,1.6872,-51.03
1.40,1.6872,-51.03
1.40,1.6778,-50.95
1.40,1.6919,-51.07
1.40,1.6919,-51.07
1.40,1.6919,-51.07
1.40,1.6825,-50.99
1.40,1.6919,-51.07
1.40,1.6813,-50.98
1.40,1.6719,-50.90
1.40,1.6872,-51.03
1.40,1.6778,-50.95
1.40,1.6919,-51.07
1.40,1.7061,-51.19
1.40,1.7049,-51.18
1.40,1.6943,-51.09
1.40,1.6990,-51.13
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.40,1.6837,-51.00
1.40,1.6884,-51.04
1.40,1.6872,-51.03
1.40,1.6778,-50.95
1.40,1.6696,-50.88
1.40,1.6743,-50.92
1.40,1.6743,-50.92
1.40,1.6802,-50.97
1.40,1.6943,-51.09
1.40,1.6931,-51.08
1.40,1.6884,-51.04
1.40,1.7026,-51.16
1.40,1.7014,-51.15
1.40,1.7014,-51.15
1.40,1.6955,-51.10
1.40,1.7049,-51.18
1.40,1.6990,-51.13
1.40,1.6931,-51.08
1.40,1.6837,-51.00
1.40,1.6884,-51.04
1.40,1.6884,-51.04
1.40,1.6790,-50.96
1.40,1.6884,-51.04
1.40,1.6790,-50.96
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.40,1.6919,-51.07
1.40,1.6825,-50.99
1.40,1.6872,-51.03
1.40,1.6872,-51.03
1.40,1.6825,-50.99
1.40,1.6731,-50.91
1.40,1.6778,-50.95
1.40,1.6778,-50.95
1.40,1.6696,-50.88
1.40,1.6837,-51.00
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.40,1.6825,-50.99
1.40,1.6919,-51.07
1.40,1.6919,-51.07
1.40,1.6872,-51.03
1.40,1.7014,-51.15
1.40,1.7002,-51.14
1.40,1.6908,-51.06
1.40,1.6802,-50.97
1.40,1.6908,-51.06
1.40,1.6896,-51.05
1.40,1.6849,-51.01
1.40,1.6896,-51.05
1.40,1.7038,-51.17
1.40,1.7026,-51.16
1.40,1.6931,-51.08
1.40,1.6967,-51.11
1.40,1.6967,-51.11
1.40,1.6955,-51.10
1.40,1.6908,-51.06
1.40,1.6955,-51.10
1.40,1.6943,-51.09
1.40,1.6849,-51.01
1.40,1.6754,-50.93
1.40,1.6849,-51.01
1.40,1.6849,-51.01
1.40,1.6754,-50.93
1.40,1.6896,-51.05
1.40,1.7038,-51.17
1.40,1.7026,-51.16
1.40,1.6931,-51.08
1.40,1.7061,-51.19
1.40,1.7014,-51.15
1.40,1.7002,-51.14
1.40,1.7049,-51.18
1.40,1.7038,-51.17
1.40,1.6931,-51.08
1.40,1.6837,-51.00
1.40,1.6978,-51.12
1.40,1.6919,-51.07
1.40,1.7061,-51.19
1.40,1.7097,-51.22
1.40,1.7085,-51.21
1.40,1.6990,-51.13
1.40,1.7073,-51.20
1.40,1.7014,-51.15
1.40,1.7014,-51.15
1.40,1.7002,-51.14
1.40,1.7132,-51.25
1.40,1.7120,-51.24
1.40,1.7026,-51.16
1.40,1.6919,-51.07
1.40,1.7014,-51.15
1.40,1.7002,-51.14
1.40,1.6896,-51.05
1.40,1.6943,-51.09
1.40,1.6943,-51.09
1.40,1.6849,-51.01
1.40,1.6943,-51.09
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.40,1.6837,-51.00
1.40,1.6931,-51.08
1.40,1.6919,-51.07
1.40,1.6872,-51.03
1.40,1.6967,-51.11
1.40,1.6908,-51.06
1.40,1.6813,-50.98
1.40,1.6860,-51.02
1.40,1.6860,-51.02
1.40,1.6813,-50.98
1.40,1.6719,-50.90
1.40,1.6872,-51.03
1.40,1.6860,-51.02
1.40,1.6766,-50.94
1.40,1.6919,-51.07
1.40,1.7002,-51.14
1.40,1.6955,-51.10
1.40,1.6849,-51.01
1.40,1.6990,-51.13
1.40,1.6943,-51.09
1.40,1.6837,-51.00
1.40,1.6931,-51.08
1.40,1.6931,-51.08
1.50,2.3707,-56.49
1.50,2.3364,-56.23
1.50,2.3720,-56.50
1.50,2.3324,-56.20
1.50,2.2943,-55.91
1.50,2.2943,-55.91
1.50,2.2590,-55.64
1.50,2.2551,-55.61
1.50,2.2995,-55.95
1.50,2.2630,-55.67
1.50,2.2643,-55.68
1.50,2.3192,-56.10
1.50,2.2812,-55.81
1.50,2.2512,-55.58
1.50,2.2904,-55.88
1.50,2.2538,-55.60
1.50,2.2564,-55.62
1.50,2.2943,-55.91
1.50,2.2590,-55.64
1.50,2.2551,-55.61
1.50,2.2995,-55.95
1.50,2.3416,-56.27
1.50,2.3035,-55.98
1.50,2.3035,-55.98
1.50,2.3456,-56.30
1.50,2.3074,-56.01
1.50,2.2708,-55.73
1.50,2.2721,-55.74
1.50,2.3100,-56.03
1.50,2.2734,-55.75
1.50,2.2747,-55.76
1.50,2.2760,-55.77
1.50,2.3298,-56.18
1.50,2.2917,-55.89
1.50,2.2917,-55.89
1.50,2.3192,-56.10
1.50,2.3654,-56.45
1.50,2.3271,-56.16
1.50,2.3258,-56.15
1.50,2.3667,-56.46
1.50,2.3324,-56.20
1.50,2.3324,-56.20
1.50,2.3681,-56.47
1.50,2.3390,-56.25
1.50,2.3377,-56.24
1.50,2.3364,-56.23
1.50,2.3773,-56.54
1.50,2.3429,-56.28
1.50,2.3416,-56.27
1.50,2.3827,-56.58
1.50,2.3416,-56.27
1.50,2.3087,-56.02
1.50,2.3087,-56.02
1.50,2.3456,-56.30
1.50,2.3074,-56.01
1.50,2.3074,-56.01
1.50,2.3495,-56.33
1.50,2.3166,-56.08
1.50,2.3153,-56.07
1.50,2.3153,-56.07
1.50,2.3628,-56.43
1.50,2.3232,-56.13
1.50,2.3219,-56.12
1.50,2.3641,-56.44
1.50,2.3986,-56.70
1.50,2.3575,-56.39
1.50,2.3986,-56.70
1.50,2.3575,-56.39
1.50,2.3179,-56.09
1.50,2.3179,-56.09
1.50,2.3495,-56.33
1.50,2.3100,-56.03
1.50,2.3522,-56.35
1.50,2.3880,-56.62
1.50,2.3469,-56.31
1.50,2.3456,-56.30
1.50,2.3973,-56.69
1.50,2.3562,-56.38
1.50,2.3179,-56.09
1.50,2.3166,-56.08
1.50,2.3588,-56.40
1.50,2.3192,-56.10
1.50,2.3192,-56.10
1.50,2.3192,-56.10
1.50,2.3601,-56.41
1.50,2.3324,-56.20
1.50,2.3311,-56.19
1.50,2.3720,-56.50
1.50,2.4173,-56.84
1.50,2.3813,-56.57
1.50,2.3773,-56.54
1.50,2.4173,-56.84
1.50,2.3760,-56.53
1.50,2.3364,-56.23
1.50,2.3350,-56.22
1.50,2.3707,-56.49
1.50,2.3311,-56.19
1.50,2.3298,-56.18
1.50,2.3707,-56.49
1.50,2.3324,-56.20
1.50,2.3311,-56.19
1.50,2.3298,-56.18
1.50,2.3654,-56.45
1.50,2.3258,-56.15
1.50,2.3258,-56.15
1.50,2.3667,-56.46
1.50,2.3324,-56.20
1.50,2.3324,-56.20
1.50,2.3681,-56.47
1.50,2.3284,-56.17
1.50,2.2904,-55.88
1.50,2.2917,-55.89
1.50,2.3337,-56.21
1.50,2.2956,-55.92
1.50,2.2969,-55.93
1.50,2.2917,-55.89
1.50,2.3337,-56.21
1.50,2.2917,-55.89
1.50,2.2917,-55.89
1.50,2.3284,-56.17
1.50,2.2917,-55.89
1.50,2.2917,-55.89
1.50,2.3350,-56.22
1.50,2.2969,-55.93
1.50,2.2656,-55.69
1.50,2.2669,-55.70
1.50,2.3100,-56.03
1.50,2.2734,-55.75
1.50,2.2695,-55.72
1.50,2.2708,-55.73
1.50,2.3140,-56.06
1.50,2.2825,-55.82
1.50,2.2838,-55.83
1.50,2.3271,-56.16
1.50,2.2891,-55.87
1.50,2.2538,-55.60
1.50,2.2551,-55.61
1.50,2.2995,-55.95
1.50,2.2630,-55.67
1.50,2.2643,-55.68
1.50,2.2669,-55.70
1.50,2.3100,-56.03
1.50,2.2838,-55.83
1.50,2.2838,-55.83
1.50,2.3219,-56.12
1.50,2.2851,-55.84
1.50,2.2851,-55.84
1.50,2.3232,-56.13
1.50,2.2904,-55.88
1.50,2.2917,-55.89
1.50,2.3337,-56.21
1.50,2.3324,-56.20
1.50,2.3681,-56.47
1.50,2.4253,-56.90
1.50,2.3827,-56.58
1.50,2.3800,-56.56
1.50,2.4133,-56.81
1.50,2.4521,-57.10
1.50,2.4093,-56.78
1.50,2.4053,-56.75
1.50,2.4440,-57.04
1.50,2.4013,-56.72
1.50,2.3654,-56.45
1.50,2.3628,-56.43
1.50,2.4079,-56.77
1.50,2.3667,-56.46
1.50,2.3641,-56.44
1.50,2.3562,-56.38
1.50,2.3920,-56.65
1.50,2.3509,-56.34
1.50,2.3495,-56.33
1.50,2.3906,-56.64
1.50,2.3495,-56.33
1.50,2.3482,-56.32
1.50,2.3827,-56.58
1.50,2.3429,-56.28
1.50,2.3416,-56.27
1.50,2.3087,-56.02
1.50,2.3087,-56.02
1.50,2.3562,-56.38
1.50,2.3959,-56.68
1.50,2.3614,-56.42
1.50,2.3588,-56.40
1.50,2.3986,-56.70
1.50,2.3575,-56.39
1.50,2.3192,-56.10
1.50,2.3192,-56.10
1.50,2.3548,-56.37
1.50,2.3166,-56.08
1.50,2.3153,-56.07
1.50,2.3153,-56.07
1.50,2.3522,-56.35
1.50,2.3127,-56.05
1.50,2.3127,-56.05
1.50,2.3548,-56.37
1.50,2.3166,-56.08
1.50,2.2786,-55.79
1.50,2.2799,-55.80
1.50,2.3127,-56.05
1.50,2.2760,-55.77
1.50,2.2408,-55.50
1.50,2.2434,-55.52
1.50,2.2878,-55.86
1.50,2.2512,-55.58
1.50,2.2538,-55.60
1.50,2.2188,-55.33
1.50,2.2227,-55.36
1.50,2.2682,-55.71
1.50,2.3114,-56.04
1.50,2.2747,-55.76
1.50,2.2760,-55.77
1.50,2.3140,-56.06
1.50,2.2760,-55.77
1.50,2.2773,-55.78
1.50,2.2525,-55.59
1.50,2.2551,-55.61
1.50,2.2564,-55.62
1.50,2.2956,-55.92
1.50,2.2590,-55.64
1.50,2.2617,-55.66
1.50,2.3048,-55.99
1.50,2.3416,-56.27
1.50,2.3035,-55.98
1.50,2.3035,-55.98
1.50,2.3350,-56.22
1.50,2.2969,-55.93
1.50,2.2617,-55.66
1.50,2.2630,-55.67
1.50,2.3061,-56.00
1.50,2.2695,-55.72
1.50,2.2708,-55.73
1.50,2.3087,-56.02
1.50,2.2721,-55.74
1.50,2.2734,-55.75
1.50,2.3166,-56.08
1.50,2.3588,-56.40
1.50,2.3192,-56.10
1.50,2.3192,-56.10
1.50,2.3601,-56.41
1.50,2.3219,-56.12
1.50,2.2838,-55.83
1.50,2.2851,-55.84
1.50,2.3232,-56.13
1.50,2.2851,-55.84
1.50,2.2865,-55.85
1.50,2.2865,-55.85
1.50,2.3245,-56.14
1.50,2.2865,-55.85
1.50,2.2878,-55.86
1.50,2.3311,-56.19
1.50,2.2930,-55.90
1.50,2.2930,-55.90
1.50,2.3311,-56.19
1.50,2.2930,-55.90
1.50,2.2930,-55.90
1.50,2.3364,-56.23
1.50,2.2982,-55.94
1.50,2.2982,-55.94
1.50,2.2982,-55.94
1.50,2.3456,-56.30
1.50,2.3074,-56.01
1.50,2.3074,-56.01
1.50,2.3495,-56.33
1.50,2.3114,-56.04
1.50,2.2747,-55.76
1.50,2.2760,-55.77
1.50,2.2408,-55.50
1.50,2.2434,-55.52
1.50,2.2825,-55.82
1.50,2.2460,-55.54
1.50,2.2486,-55.56
1.50,2.2512,-55.58
1.50,2.2956,-55.92
1.50,2.2590,-55.64
1.50,2.2603,-55.65
1.50,2.2995,-55.95
1.50,2.3311,-56.19
1.50,2.2982,-55.94
1.50,2.2982,-55.94
1.50,2.3416,-56.27
1.50,2.3403,-56.26
1.50,2.3390,-56.25
1.50,2.3009,-55.96
1.50,2.3009,-55.96
1.50,2.3482,-56.32
1.50,2.3999,-56.71
1.50,2.3588,-56.40
1.50,2.3562,-56.38
1.50,2.3973,-56.69
1.50,2.3562,-56.38
1.50,2.3219,-56.12
1.50,2.3219,-56.12
1.50,2.3575,-56.39
1.50,2.3245,-56.14
1.50,2.3232,-56.13
1.50,2.3232,-56.13
1.50,2.3588,-56.40
1.50,2.3206,-56.11
1.50,2.3192,-56.10
1.50,2.3614,-56.42
1.60,1.6065,-50.34
1.60,1.6042,-50.32
1.60,1.6077,-50.35
1.60,1.6065,-50.34
1.60,1.6088,-50.36
1.60,1.6077,-50.35
1.60,1.6065,-50.34
1.60,1.6042,-50.32
1.60,1.6077,-50.35
1.60,1.6065,-50.34
1.60,1.6042,-50.32
1.60,1.6123,-50.39
1.60,1.6100,-50.37
1.60,1.6088,-50.36
1.60,1.6065,-50.34
1.60,1.6100,-50.37
1.60,1.6135,-50.40
